timestamp,joint,angle
0.095,elbow_L_flex,67.7
0.196,elbow_L_flex,59.9
0.295,elbow_L_flex,120.9
0.396,elbow_L_flex,120.6
0.492,elbow_L_flex,120.1
0.592,elbow_L_flex,121.4
0.692,elbow_L_flex,122.2
0.787,elbow_L_flex,122.5
0.887,elbow_L_flex,125.7
0.987,elbow_L_flex,129.2
1.083,elbow_L_flex,102.0
1.183,elbow_L_flex,86.1
1.283,elbow_L_flex,75.2
1.383,elbow_L_flex,48.4
1.479,elbow_L_flex,131.7
1.579,elbow_L_flex,132.9
1.679,elbow_L_flex,133.1
1.775,elbow_L_flex,132.6
1.875,elbow_L_flex,132.3
1.975,elbow_L_flex,47.5
2.071,elbow_L_flex,47.7
2.171,elbow_L_flex,132.2
2.271,elbow_L_flex,47.9
2.367,elbow_L_flex,48.3
2.467,elbow_L_flex,131.6
2.567,elbow_L_flex,131.3
2.667,elbow_L_flex,130.6
2.763,elbow_L_flex,129.3
2.864,elbow_L_flex,129.1
2.963,elbow_L_flex,129.1
3.059,elbow_L_flex,129.0
3.159,elbow_L_flex,128.6
3.259,elbow_L_flex,129.1
0.095,elbow_R_flex,55.3
0.196,elbow_R_flex,56.1
0.295,elbow_R_flex,55.7
0.396,elbow_R_flex,56.5
0.492,elbow_R_flex,58.5
0.592,elbow_R_flex,57.9
0.692,elbow_R_flex,58.0
0.787,elbow_R_flex,58.6
0.887,elbow_R_flex,58.6
0.987,elbow_R_flex,59.5
1.083,elbow_R_flex,59.9
1.183,elbow_R_flex,59.9
1.283,elbow_R_flex,59.3
1.383,elbow_R_flex,122.5
1.479,elbow_R_flex,122.5
1.579,elbow_R_flex,122.7
1.679,elbow_R_flex,57.2
1.775,elbow_R_flex,57.9
1.875,elbow_R_flex,57.7
1.975,elbow_R_flex,58.0
2.071,elbow_R_flex,57.9
2.171,elbow_R_flex,57.4
2.271,elbow_R_flex,58.0
2.367,elbow_R_flex,55.1
2.467,elbow_R_flex,53.6
2.567,elbow_R_flex,52.6
2.667,elbow_R_flex,52.5
2.763,elbow_R_flex,52.4
2.864,elbow_R_flex,53.5
2.963,elbow_R_flex,54.2
3.059,elbow_R_flex,53.5
3.159,elbow_R_flex,53.1
3.259,elbow_R_flex,51.8
0.095,hip_L_flex,124.4
0.196,hip_L_flex,125.9
0.295,hip_L_flex,126.7
0.396,hip_L_flex,126.8
0.492,hip_L_flex,126.9
0.592,hip_L_flex,127.4
0.692,hip_L_flex,127.4
0.787,hip_L_flex,127.6
0.887,hip_L_flex,128.3
0.987,hip_L_flex,126.8
1.083,hip_L_flex,127.1
1.183,hip_L_flex,129.6
1.283,hip_L_flex,129.6
1.383,hip_L_flex,130.0
1.479,hip_L_flex,130.3
1.579,hip_L_flex,130.4
1.679,hip_L_flex,130.7
1.775,hip_L_flex,130.6
1.875,hip_L_flex,130.8
1.975,hip_L_flex,130.6
2.071,hip_L_flex,130.5
2.171,hip_L_flex,130.6
2.271,hip_L_flex,130.4
2.367,hip_L_flex,130.1
2.467,hip_L_flex,130.0
2.567,hip_L_flex,129.8
2.667,hip_L_flex,129.5
2.763,hip_L_flex,130.1
2.864,hip_L_flex,129.9
2.963,hip_L_flex,129.3
3.059,hip_L_flex,129.6
3.159,hip_L_flex,129.3
3.259,hip_L_flex,129.4
0.095,hip_R_flex,57.0
0.196,hip_R_flex,57.2
0.295,hip_R_flex,57.2
0.396,hip_R_flex,57.1
0.492,hip_R_flex,57.1
0.592,hip_R_flex,56.3
0.692,hip_R_flex,55.5
0.787,hip_R_flex,55.1
0.887,hip_R_flex,55.3
0.987,hip_R_flex,59.3
1.083,hip_R_flex,60.2
1.183,hip_R_flex,61.0
1.283,hip_R_flex,60.8
1.383,hip_R_flex,60.3
1.479,hip_R_flex,59.3
1.579,hip_R_flex,58.8
1.679,hip_R_flex,58.7
1.775,hip_R_flex,58.7
1.875,hip_R_flex,58.5
1.975,hip_R_flex,58.9
2.071,hip_R_flex,59.3
2.171,hip_R_flex,59.0
2.271,hip_R_flex,59.4
2.367,hip_R_flex,59.1
2.467,hip_R_flex,59.0
2.567,hip_R_flex,58.7
2.667,hip_R_flex,58.3
2.763,hip_R_flex,58.5
2.864,hip_R_flex,58.4
2.963,hip_R_flex,58.3
3.059,hip_R_flex,57.7
3.159,hip_R_flex,57.6
3.259,hip_R_flex,57.6
0.095,knee_L_flex,180.0
0.196,knee_L_flex,180.0
0.295,knee_L_flex,180.0
0.396,knee_L_flex,180.0
0.492,knee_L_flex,180.0
0.592,knee_L_flex,180.0
0.692,knee_L_flex,180.0
0.787,knee_L_flex,180.0
0.887,knee_L_flex,180.0
0.987,knee_L_flex,180.0
1.083,knee_L_flex,180.0
1.183,knee_L_flex,180.0
1.283,knee_L_flex,180.0
1.383,knee_L_flex,180.0
1.479,knee_L_flex,180.0
1.579,knee_L_flex,180.0
1.679,knee_L_flex,180.0
1.775,knee_L_flex,180.0
1.875,knee_L_flex,180.0
1.975,knee_L_flex,180.0
2.071,knee_L_flex,180.0
2.171,knee_L_flex,180.0
2.271,knee_L_flex,180.0
2.367,knee_L_flex,180.0
2.467,knee_L_flex,180.0
2.567,knee_L_flex,180.0
2.667,knee_L_flex,180.0
2.763,knee_L_flex,180.0
2.864,knee_L_flex,180.0
2.963,knee_L_flex,180.0
3.059,knee_L_flex,180.0
3.159,knee_L_flex,180.0
3.259,knee_L_flex,180.0
0.095,knee_R_flex,180.0
0.196,knee_R_flex,180.0
0.295,knee_R_flex,180.0
0.396,knee_R_flex,180.0
0.492,knee_R_flex,180.0
0.592,knee_R_flex,180.0
0.692,knee_R_flex,180.0
0.787,knee_R_flex,180.0
0.887,knee_R_flex,180.0
0.987,knee_R_flex,180.0
1.083,knee_R_flex,180.0
1.183,knee_R_flex,180.0
1.283,knee_R_flex,180.0
1.383,knee_R_flex,180.0
1.479,knee_R_flex,180.0
1.579,knee_R_flex,180.0
1.679,knee_R_flex,180.0
1.775,knee_R_flex,180.0
1.875,knee_R_flex,180.0
1.975,knee_R_flex,180.0
2.071,knee_R_flex,180.0
2.171,knee_R_flex,180.0
2.271,knee_R_flex,180.0
2.367,knee_R_flex,180.0
2.467,knee_R_flex,180.0
2.567,knee_R_flex,180.0
2.667,knee_R_flex,180.0
2.763,knee_R_flex,180.0
2.864,knee_R_flex,180.0
2.963,knee_R_flex,180.0
3.059,knee_R_flex,180.0
3.159,knee_R_flex,180.0
3.259,knee_R_flex,180.0
0.095,shoulder_L_abd,70.4
0.196,shoulder_L_abd,78.0
0.295,shoulder_L_abd,78.3
0.396,shoulder_L_abd,78.2
0.492,shoulder_L_abd,77.7
0.592,shoulder_L_abd,80.1
0.692,shoulder_L_abd,82.0
0.787,shoulder_L_abd,82.5
0.887,shoulder_L_abd,85.0
0.987,shoulder_L_abd,81.8
1.083,shoulder_L_abd,89.1
1.183,shoulder_L_abd,85.8
1.283,shoulder_L_abd,83.5
1.383,shoulder_L_abd,81.2
1.479,shoulder_L_abd,82.4
1.579,shoulder_L_abd,84.1
1.679,shoulder_L_abd,84.3
1.775,shoulder_L_abd,83.9
1.875,shoulder_L_abd,83.8
1.975,shoulder_L_abd,83.4
2.071,shoulder_L_abd,82.8
2.171,shoulder_L_abd,82.7
2.271,shoulder_L_abd,82.2
2.367,shoulder_L_abd,81.9
2.467,shoulder_L_abd,81.8
2.567,shoulder_L_abd,81.6
2.667,shoulder_L_abd,81.2
2.763,shoulder_L_abd,79.6
2.864,shoulder_L_abd,79.6
2.963,shoulder_L_abd,79.9
3.059,shoulder_L_abd,80.5
3.159,shoulder_L_abd,80.2
3.259,shoulder_L_abd,80.7
0.095,shoulder_R_abd,84.6
0.196,shoulder_R_abd,84.8
0.295,shoulder_R_abd,85.6
0.396,shoulder_R_abd,85.0
0.492,shoulder_R_abd,83.1
0.592,shoulder_R_abd,83.9
0.692,shoulder_R_abd,84.2
0.787,shoulder_R_abd,83.6
0.887,shoulder_R_abd,84.3
0.987,shoulder_R_abd,83.5
1.083,shoulder_R_abd,83.5
1.183,shoulder_R_abd,85.1
1.283,shoulder_R_abd,85.8
1.383,shoulder_R_abd,87.9
1.479,shoulder_R_abd,88.4
1.579,shoulder_R_abd,89.1
1.679,shoulder_R_abd,89.5
1.775,shoulder_R_abd,88.7
1.875,shoulder_R_abd,89.1
1.975,shoulder_R_abd,88.7
2.071,shoulder_R_abd,88.7
2.171,shoulder_R_abd,89.5
2.271,shoulder_R_abd,88.9
2.367,shoulder_R_abd,91.5
2.467,shoulder_R_abd,92.8
2.567,shoulder_R_abd,93.7
2.667,shoulder_R_abd,93.7
2.763,shoulder_R_abd,94.0
2.864,shoulder_R_abd,92.8
2.963,shoulder_R_abd,92.1
3.059,shoulder_R_abd,93.1
3.159,shoulder_R_abd,93.3
3.259,shoulder_R_abd,94.7
0.095,neck_flex,3.0
0.196,neck_flex,1.4
0.295,neck_flex,1.0
0.396,neck_flex,2.2
0.492,neck_flex,2.7
0.592,neck_flex,3.6
0.692,neck_flex,5.4
0.787,neck_flex,6.0
0.887,neck_flex,6.6
0.987,neck_flex,4.6
1.083,neck_flex,4.4
1.183,neck_flex,2.6
1.283,neck_flex,4.2
1.383,neck_flex,4.5
1.479,neck_flex,4.6
1.579,neck_flex,5.1
1.679,neck_flex,4.5
1.775,neck_flex,4.5
1.875,neck_flex,4.3
1.975,neck_flex,3.4
2.071,neck_flex,2.7
2.171,neck_flex,1.7
2.271,neck_flex,0.5
2.367,neck_flex,1.2
2.467,neck_flex,1.9
2.567,neck_flex,2.4
2.667,neck_flex,3.0
2.763,neck_flex,3.8
2.864,neck_flex,3.5
2.963,neck_flex,3.7
3.059,neck_flex,3.2
3.159,neck_flex,2.8
3.259,neck_flex,3.0
0.095,trunk_tilt,179.0
0.196,trunk_tilt,177.8
0.295,trunk_tilt,177.1
0.396,trunk_tilt,177.0
0.492,trunk_tilt,177.0
0.592,trunk_tilt,177.2
0.692,trunk_tilt,177.8
0.787,trunk_tilt,177.9
0.887,trunk_tilt,177.2
0.987,trunk_tilt,175.6
1.083,trunk_tilt,174.7
