timestamp,joint,angle
24.745,elbow_L_flex,156.1
24.856,elbow_L_flex,134.3
24.955,elbow_L_flex,137.8
25.056,elbow_L_flex,124.9
25.163,elbow_L_flex,150.3
25.262,elbow_L_flex,137.0
25.368,elbow_L_flex,150.9
25.467,elbow_L_flex,155.5
25.571,elbow_L_flex,159.1
25.671,elbow_L_flex,150.7
25.776,elbow_L_flex,154.6
25.875,elbow_L_flex,147.7
25.987,elbow_L_flex,131.6
26.093,elbow_L_flex,129.6
26.192,elbow_L_flex,97.7
26.299,elbow_L_flex,81.9
26.403,elbow_L_flex,81.4
26.508,elbow_L_flex,81.8
26.614,elbow_L_flex,98.5
26.719,elbow_L_flex,80.1
26.818,elbow_L_flex,80.5
26.912,elbow_L_flex,80.9
27.009,elbow_L_flex,81.5
27.100,elbow_L_flex,81.6
27.192,elbow_L_flex,81.6
27.305,elbow_L_flex,81.7
27.413,elbow_L_flex,82.1
27.521,elbow_L_flex,82.4
27.629,elbow_L_flex,82.9
27.747,elbow_L_flex,84.3
27.844,elbow_L_flex,84.3
27.940,elbow_L_flex,83.5
28.036,elbow_L_flex,83.9
28.140,elbow_L_flex,84.7
28.235,elbow_L_flex,84.6
28.329,elbow_L_flex,84.5
28.423,elbow_L_flex,84.7
28.520,elbow_L_flex,84.5
14.818,elbow_R_flex,161.7
14.920,elbow_R_flex,161.9
15.029,elbow_R_flex,161.6
15.134,elbow_R_flex,161.1
15.225,elbow_R_flex,162.9
15.320,elbow_R_flex,162.9
15.433,elbow_R_flex,158.7
15.525,elbow_R_flex,157.6
15.620,elbow_R_flex,160.0
15.718,elbow_R_flex,157.8
15.813,elbow_R_flex,157.6
15.908,elbow_R_flex,156.2
16.005,elbow_R_flex,147.2
16.097,elbow_R_flex,149.9
16.190,elbow_R_flex,154.9
16.279,elbow_R_flex,158.5
16.370,elbow_R_flex,164.5
16.461,elbow_R_flex,158.3
16.550,elbow_R_flex,157.6
16.641,elbow_R_flex,158.6
16.732,elbow_R_flex,159.6
16.820,elbow_R_flex,159.1
16.913,elbow_R_flex,159.3
17.001,elbow_R_flex,161.4
17.105,elbow_R_flex,161.0
17.194,elbow_R_flex,167.0
17.285,elbow_R_flex,155.2
17.373,elbow_R_flex,149.6
17.468,elbow_R_flex,106.7
17.559,elbow_R_flex,140.0
17.651,elbow_R_flex,147.7
17.744,elbow_R_flex,152.9
17.839,elbow_R_flex,145.5
17.934,elbow_R_flex,157.6
18.035,elbow_R_flex,161.8
18.143,elbow_R_flex,165.6
18.243,elbow_R_flex,162.5
18.345,elbow_R_flex,165.8
18.439,elbow_R_flex,166.6
18.535,elbow_R_flex,164.5
18.634,elbow_R_flex,165.3
18.737,elbow_R_flex,164.8
18.836,elbow_R_flex,164.5
18.942,elbow_R_flex,161.2
19.051,elbow_R_flex,146.5
19.144,elbow_R_flex,143.6
19.244,elbow_R_flex,5.7
19.343,elbow_R_flex,4.3
19.450,elbow_R_flex,18.2
19.550,elbow_R_flex,33.8
19.644,elbow_R_flex,2.2
19.740,elbow_R_flex,25.4
19.849,elbow_R_flex,26.8
19.952,elbow_R_flex,32.9
20.056,elbow_R_flex,29.9
20.159,elbow_R_flex,20.6
20.264,elbow_R_flex,14.0
20.358,elbow_R_flex,5.9
20.457,elbow_R_flex,10.1
20.568,elbow_R_flex,3.3
20.667,elbow_R_flex,109.3
20.764,elbow_R_flex,139.8
20.868,elbow_R_flex,155.8
20.969,elbow_R_flex,154.6
21.077,elbow_R_flex,158.6
21.175,elbow_R_flex,157.4
21.279,elbow_R_flex,157.9
21.376,elbow_R_flex,155.9
21.469,elbow_R_flex,156.5
21.570,elbow_R_flex,153.6
21.674,elbow_R_flex,110.6
21.769,elbow_R_flex,22.4
21.867,elbow_R_flex,8.4
21.976,elbow_R_flex,34.2
22.075,elbow_R_flex,4.0
22.178,elbow_R_flex,2.7
22.276,elbow_R_flex,14.1
22.374,elbow_R_flex,17.5
22.470,elbow_R_flex,21.2
22.571,elbow_R_flex,28.7
22.671,elbow_R_flex,33.4
