timestamp,cadence,step_time_L,step_time_R,SI
0.716,0.0,,,
0.872,0.0,,,
0.988,0.0,,,
1.097,0.0,,,
1.203,0.0,,,
1.308,0.0,,,
1.414,0.0,,,
1.519,0.0,,,
1.633,0.0,,,
1.741,0.0,,,
1.843,0.0,,,
1.950,0.0,,,
2.052,0.0,,,
2.154,0.0,,,
2.256,0.0,,,
2.355,0.0,,,
2.462,0.0,,,
2.561,0.0,,,
2.676,0.0,,,
2.779,0.0,,,
2.892,0.0,,,
2.989,0.0,,,
3.102,0.0,,,
3.234,0.0,,,
3.340,0.0,,,
3.448,0.0,,,
3.557,0.0,,,
3.665,0.0,,,
3.767,0.0,,,
3.867,0.0,,,
3.967,0.0,,,
4.069,0.0,,,
4.170,0.0,,,
4.280,0.0,,,
4.383,0.0,,,
4.492,0.0,,,
4.596,0.0,,,
4.699,0.0,,,
4.813,0.0,,,
4.907,0.0,,,
5.006,0.0,,,
5.112,0.0,,,
5.236,0.0,,,
5.356,0.0,,,
5.457,0.0,,,
5.563,0.0,,,
5.659,0.0,,,
5.765,0.0,,,
5.881,0.0,,,
5.995,0.0,,,
6.098,0.0,,,
6.213,0.0,,,
6.312,0.0,,,
6.411,0.0,,,
6.513,0.0,,,
6.676,0.0,,,
6.828,0.0,,,
6.943,0.0,,,
7.046,0.0,,,
7.154,0.0,,,
7.267,0.0,,,
7.365,0.0,,,
7.464,0.0,,,
7.565,0.0,,,
7.669,0.0,,,
7.773,0.0,,,
7.884,0.0,,,
7.981,0.0,,,
8.088,0.0,,,
8.190,0.0,,,
8.296,0.0,,,
8.393,0.0,,,
8.494,0.0,,,
8.601,0.0,,,
8.702,0.0,,,
8.800,0.0,,,
8.897,0.0,,,
9.002,0.0,,,
9.098,0.0,,,
9.194,0.0,,,
9.303,0.0,,,
9.396,0.0,,,
9.498,0.0,,,
9.597,0.0,,,
9.712,0.0,,,
9.816,0.0,,,
9.912,0.0,,,
10.009,0.0,,,
10.112,0.0,,,
10.223,0.0,,,
10.320,0.0,,,
10.422,0.0,,,
10.512,0.0,,,
10.608,0.0,,,
10.706,0.0,,,
10.805,0.0,,,
10.902,0.0,,,
11.003,0.0,,,
11.101,0.0,,,
11.198,0.0,,,
11.294,0.0,,,
11.404,0.0,,,
11.507,0.0,,,
11.605,0.0,,,
11.712,0.0,,,
11.817,0.0,,,
11.917,0.0,,,
12.022,0.0,,,
12.122,0.0,,,
12.224,0.0,,,
12.325,0.0,,,
12.423,0.0,,,
12.510,0.0,,,
12.606,0.0,,,
12.705,0.0,,,
12.806,0.0,,,
12.899,0.0,,,
13.009,0.0,,,
13.112,0.0,,,
13.203,0.0,,,
13.295,0.0,,,
13.390,0.0,,,
13.484,0.0,,,
13.594,0.0,,,
13.687,0.0,,,
13.781,0.0,,,
13.870,0.0,,,
13.964,0.0,,,
14.058,0.0,,,
14.150,0.0,,,
14.257,0.0,,,
14.348,0.0,,,
14.444,0.0,,,
14.542,0.0,,,
14.634,0.0,,,
14.720,0.0,,,
14.818,0.0,,,
14.920,0.0,,,
15.029,0.0,,,
15.134,0.0,,,
15.225,0.0,,,
15.320,0.0,,,
15.433,0.0,,,
15.525,0.0,,,
15.620,0.0,,,
15.718,0.0,,,
15.813,0.0,,,
15.908,0.0,,,
16.005,0.0,,,
16.097,0.0,,,
16.190,0.0,,,
16.279,0.0,,,
16.370,0.0,,,
16.461,0.0,,,
16.550,0.0,,,
16.641,0.0,,,
16.732,0.0,,,
16.820,0.0,,,
16.913,0.0,,,
17.001,0.0,,,
17.105,0.0,,,
17.194,0.0,,,
17.285,0.0,,,
17.373,0.0,,,
17.468,0.0,,,
17.559,0.0,,,
17.651,0.0,,,
17.744,0.0,,,
17.839,0.0,,,
17.934,0.0,,,
18.035,0.0,,,
18.143,0.0,,,
18.243,0.0,,,
18.345,0.0,,,
18.439,0.0,,,
18.535,0.0,,,
18.634,0.0,,,
18.737,0.0,,,
18.836,0.0,,,
18.942,0.0,,,
19.051,0.0,,,
19.144,0.0,,,
19.244,0.0,,,
19.343,0.0,,,
19.450,0.0,,,
19.550,0.0,,,
19.644,0.0,,,
19.740,0.0,,,
19.849,0.0,,,
19.952,0.0,,,
20.056,0.0,,,
20.159,0.0,,,
20.264,0.0,,,
20.358,0.0,,,
20.457,0.0,,,
20.568,0.0,,,
20.667,0.0,,,
20.764,0.0,,,
20.868,0.0,,,
20.969,0.0,,,
21.077,0.0,,,
21.175,0.0,,,
21.279,0.0,,,
21.376,0.0,,,
21.469,0.0,,,
21.570,0.0,,,
21.674,0.0,,,
21.769,0.0,,,
21.867,0.0,,,
21.976,0.0,,,
22.075,0.0,,,
22.178,0.0,,,
22.276,0.0,,,
22.374,0.0,,,
22.470,0.0,,,
22.571,0.0,,,
22.671,0.0,,,
22.780,0.0,,,
22.874,0.0,,,
22.975,0.0,,,
23.084,0.0,,,
23.179,0.0,,,
23.277,0.0,,,
23.375,0.0,,,
23.484,0.0,,,
23.582,0.0,,,
23.687,0.0,,,
23.798,0.0,,,
23.899,0.0,,,
24.002,0.0,,,
24.107,0.0,,,
24.218,0.0,,,
24.334,0.0,,,
24.434,0.0,,,
24.537,0.0,,,
24.643,0.0,,,
24.745,0.0,,,
24.856,0.0,,,
24.955,0.0,,,
25.056,0.0,,,
25.163,0.0,,,
25.262,0.0,,,
25.368,0.0,,,
25.467,0.0,,,
25.571,0.0,,,
25.671,0.0,,,
25.776,0.0,,,
25.875,0.0,,,
25.987,0.0,,,
26.093,0.0,,,
26.192,0.0,,,
26.299,0.0,,,
26.403,0.0,,,
26.508,0.0,,,
26.614,0.0,,,
26.719,0.0,,,
26.818,0.0,,,
26.912,0.0,,,
27.009,0.0,,,
27.100,0.0,,,
27.192,0.0,,,
27.305,0.0,,,
27.413,0.0,,,
27.521,0.0,,,
27.629,0.0,,,
27.747,0.0,,,
27.844,0.0,,,
27.940,0.0,,,
28.036,0.0,,,
28.140,0.0,,,
28.235,0.0,,,
28.329,0.0,,,
28.423,0.0,,,
28.520,0.0,,,
