timestamp,joint,angle
16.293,elbow_L_flex,18.4
16.432,elbow_L_flex,18.0
16.575,elbow_L_flex,12.6
16.730,elbow_L_flex,11.5
16.870,elbow_L_flex,11.7
17.027,elbow_L_flex,13.4
17.185,elbow_L_flex,6.0
17.356,elbow_L_flex,1.1
17.509,elbow_L_flex,1.8
17.666,elbow_L_flex,3.9
17.837,elbow_L_flex,2.3
18.006,elbow_L_flex,4.4
18.177,elbow_L_flex,6.3
18.349,elbow_L_flex,21.0
18.504,elbow_L_flex,18.9
18.677,elbow_L_flex,11.5
18.802,elbow_L_flex,6.0
18.958,elbow_L_flex,3.9
19.112,elbow_L_flex,0.6
19.267,elbow_L_flex,13.8
19.408,elbow_L_flex,50.5
19.549,elbow_L_flex,143.2
19.720,elbow_L_flex,120.6
19.876,elbow_L_flex,117.3
20.030,elbow_L_flex,115.0
20.188,elbow_L_flex,111.2
20.313,elbow_L_flex,110.0
20.500,elbow_L_flex,110.3
20.643,elbow_L_flex,109.6
20.798,elbow_L_flex,109.0
20.956,elbow_L_flex,110.4
21.128,elbow_L_flex,109.6
21.283,elbow_L_flex,71.1
21.439,elbow_L_flex,70.3
21.611,elbow_L_flex,70.1
21.782,elbow_L_flex,72.6
21.937,elbow_L_flex,72.2
22.077,elbow_L_flex,72.4
22.232,elbow_L_flex,71.8
22.357,elbow_L_flex,71.6
22.514,elbow_L_flex,71.6
22.669,elbow_L_flex,71.3
22.825,elbow_L_flex,71.8
22.963,elbow_L_flex,71.9
23.132,elbow_L_flex,70.7
23.304,elbow_L_flex,69.0
23.427,elbow_L_flex,68.9
23.585,elbow_L_flex,69.4
23.754,elbow_L_flex,69.4
23.927,elbow_L_flex,69.0
24.068,elbow_L_flex,68.9
24.192,elbow_L_flex,68.9
24.332,elbow_L_flex,70.8
24.472,elbow_L_flex,72.6
24.597,elbow_L_flex,72.7
24.739,elbow_L_flex,73.4
24.863,elbow_L_flex,73.9
24.987,elbow_L_flex,73.6
25.144,elbow_L_flex,73.3
25.268,elbow_L_flex,73.2
25.394,elbow_L_flex,73.1
25.550,elbow_L_flex,73.0
25.703,elbow_L_flex,73.1
25.843,elbow_L_flex,73.5
26.012,elbow_L_flex,73.4
26.167,elbow_L_flex,73.3
26.308,elbow_L_flex,73.2
26.447,elbow_L_flex,72.1
26.587,elbow_L_flex,72.0
26.710,elbow_L_flex,71.5
26.852,elbow_L_flex,72.0
26.975,elbow_L_flex,71.9
27.117,elbow_L_flex,71.5
27.274,elbow_L_flex,71.4
27.414,elbow_L_flex,71.9
27.541,elbow_L_flex,72.0
27.681,elbow_L_flex,71.9
27.823,elbow_L_flex,72.1
27.994,elbow_L_flex,72.8
